Data;Hora;Chuva Último dado; Chuva Acumulada 1H; Chuva Acumulada 4H; Chuva Acumulada 24H; Chuva Acumulada 96H; Chuva Acumulada 30D; Último Nível
20/06/2020;20:00;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;19:45;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;19:30;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;19:15;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;19:00;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;18:45;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;18:30;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;18:15;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;18:00;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;17:45;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;17:30;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;17:15;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;17:00;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;16:45;0.0;0.0;0.0;0.0;0.0;10.8;0.19
20/06/2020;16:30;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;16:15;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;16:00;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;15:45;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;15:30;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;15:15;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;15:00;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;14:45;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;14:30;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;14:15;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;14:00;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;13:45;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;13:30;0.0;0.0;0.0;0.0;0.0;10.8;0.18
20/06/2020;13:15;0.0;0.0;0.0;0.0;0.0;10.8;0.17
20/06/2020;13:00;0.0;0.0;0.0;0.0;0.0;10.8;0.17
20/06/2020;12:45;0.0;0.0;0.0;0.0;0.0;10.8;0.17
20/06/2020;12:30;0.0;0.0;0.0;0.0;0.0;10.8;0.17
20/06/2020;12:15;0.0;0.0;0.0;0.0;0.0;10.8;0.17
20/06/2020;12:00;0.0;0.0;0.0;0.0;0.0;10.8;0.17
